sub_code;modality;Lab;DECODING_min_sf_so_uf_uo;DECODING_min_sf_so;DECODING_min_sl_sr_ul_ur;DECODING_min_sl_sr;ACTIVATION_min_sf_uf;ACTIVATION_min_so_uo;SYNCHRONY_min_seen;BASELINE_min_seen_unseen
SC109;fMRI;SC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
SC172;fMRI;SC;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE
SC173;fMRI;SC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
SD107;fMRI;SD;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
SD134;fMRI;SD;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE
SD156;fMRI;SD;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
SD165;fMRI;SD;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
SD193;fMRI;SD;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE
SC108;fMRI;SC;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
SC110;fMRI;SC;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SC114;fMRI;SC;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
SC118;fMRI;SC;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE
SC120;fMRI;SC;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
SC121;fMRI;SC;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SC122;fMRI;SC;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SC123;fMRI;SC;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SC124;fMRI;SC;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
SC129;fMRI;SC;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SC131;fMRI;SC;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SC132;fMRI;SC;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
SC136;fMRI;SC;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SC140;fMRI;SC;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE
SC142;fMRI;SC;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SC143;fMRI;SC;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
SC144;fMRI;SC;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE
SC145;fMRI;SC;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SC148;fMRI;SC;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SC152;fMRI;SC;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE
SC154;fMRI;SC;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SC157;fMRI;SC;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SC158;fMRI;SC;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE
SC159;fMRI;SC;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE
SC160;fMRI;SC;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE
SC168;fMRI;SC;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE
SC170;fMRI;SC;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SC171;fMRI;SC;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SC182;fMRI;SC;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE
SC183;fMRI;SC;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
SC187;fMRI;SC;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SC189;fMRI;SC;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SC191;fMRI;SC;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE
SC192;fMRI;SC;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SC194;fMRI;SC;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SC196;fMRI;SC;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SC202;fMRI;SC;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE
SD101;fMRI;SD;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE
SD118;fMRI;SD;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
SD119;fMRI;SD;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE
SD123;fMRI;SD;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE
SD126;fMRI;SD;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SD130;fMRI;SD;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
SD131;fMRI;SD;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SD135;fMRI;SD;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE
SD136;fMRI;SD;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SD137;fMRI;SD;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE
SD141;fMRI;SD;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE
SD147;fMRI;SD;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SD153;fMRI;SD;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SD159;fMRI;SD;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SD163;fMRI;SD;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SD166;fMRI;SD;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SD168;fMRI;SD;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE
SD171;fMRI;SD;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE
SD174;fMRI;SD;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
SD176;fMRI;SD;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SD182;fMRI;SD;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE
SD185;fMRI;SD;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SD188;fMRI;SD;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE
SD190;fMRI;SD;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE
SD191;fMRI;SD;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
SD194;fMRI;SD;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SD195;fMRI;SD;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE
SD196;fMRI;SD;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
SD198;fMRI;SD;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE
SD199;fMRI;SD;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE
SD201;fMRI;SD;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
